Yearly_ExpensesK,Avg_Residancy_Altitude,Overall_happiness_score,Will_vote_only_large_party,Financial_agenda_matters,Yearly_IncomeK,Most_Important_Issue,Vote
403.310559137,57.3918231719,861.981391157,1.0,0.0,710.857599931,0.0,7
714.238096029,136.087596419,819.390491554,1.0,1.0,865.494572108,3.0,8
395.407935536,133.91862482,584.598207041,1.0,0.0,562.297359763,2.0,0
423.801917194,70.3117868914,595.206111157,1.0,0.0,577.028055801,4.0,0
426.566425677,81.9092636912,536.103804904,1.0,0.0,520.626096988,2.0,9
355.53548291,58.7330438908,727.749962739,1.0,0.0,531.117151549,0.0,4
675.200257711,219.45158633,658.39837002,1.0,0.0,614.771717398,2.0,3
378.148553966,402.333503939,857.978373818,0.0,0.0,790.938181244,2.0,1
617.706009184,235.097901577,679.53330835,1.0,0.0,673.995403874,0.0,0
588.400047569,62.1963835861,704.125929801,1.0,0.0,657.96329971,0.0,7
645.260621995,269.660736892,689.037133304,1.0,0.0,616.720424157,4.0,3
746.654674876,271.483168567,922.294151314,1.0,1.0,856.314447748,3.0,8
394.227852329,70.9258285057,584.745657472,1.0,0.0,558.082453121,1.0,9
362.275362156,278.573892469,855.080081699,1.0,0.0,694.497953891,1.0,7
654.227887047,33.2294503911,661.827278028,1.0,1.0,730.995504047,5.0,8
579.784423764,159.001846958,649.146404047,1.0,0.0,643.413501231,4.0,0
367.561250577,58.672558555,770.926941924,1.0,0.0,579.302216804,2.0,4
466.608626302,125.902047228,815.039728407,1.0,1.0,698.888510164,3.0,8
245.752562917,406.109053342,470.628337913,0.0,0.0,502.97439475,2.0,1
459.436870117,259.316819924,738.238621202,1.0,0.0,604.157389274,2.0,3
463.404135779,59.8478933527,743.283703368,1.0,0.0,623.378848101,4.0,3
471.410974317,124.003042238,866.060546299,1.0,0.0,673.240848059,2.0,9
838.463965448,151.387021119,783.745480435,1.0,1.0,674.017699901,6.0,5
398.432870207,89.2978994431,856.861586205,1.0,0.0,771.27098295,7.0,7
892.770936827,101.477385819,823.550478292,1.0,1.0,818.426308455,5.0,5
991.80010762,13.9683342744,992.97789113,1.0,1.0,990.120273083,6.0,5
