,Vote,Occupation_Satisfaction,Avg_monthly_expense_when_under_age_21,AVG_lottary_expanses,Most_Important_Issue,Avg_Residancy_Altitude,Looking_at_poles_results,Yearly_ExpensesK,Married,Gender,Voting_Time,Financial_balance_score_(0-1),%Of_Household_Income,Avg_government_satisfaction,Avg_education_importance,Avg_environmental_importance,Avg_Satisfaction_with_previous_vote,Avg_monthly_income_all_years,%Time_invested_in_work,Yearly_IncomeK,Avg_monthly_expense_on_pets_or_plants,Avg_monthly_household_cost,Will_vote_only_large_party,Phone_minutes_10_years,Avg_size_per_room,Weighted_education_rank,%_satisfaction_financial_policy,Garden_sqr_meter_per_person_in_residancy_area,Last_school_grades,Age_group,Number_of_differnt_parties_voted_for,Political_interest_Total_Score,Number_of_valued_Kneset_members,Main_transportation,Occupation,Overall_happiness_score,Num_of_kids_born_last_10_years,Financial_agenda_matters,split
0,Yellows,9.0,901.074248715,174664.625237,Education,300.358082905,No,581.521307992,No,Male,After_16:00,0.920726605225,0.100483536022,4.36548330821,2.1617977391,5.96221784363,6.10621832544,9204.0,53.9816523204,622.909383842,7061.03184761,80356.4657209,Yes,338167.031649,24.9581526528,777521.020211,43.5188635485,90525.3360492,100.0,45_and_up,1.0,1067.41954969,14.0,Motorcycle_or_truck,Industry_or_other,897.297946857,0.0,No,train
1,Reds,4.0,172.175469516,23146.7282933,Education,57.3918231719,No,403.310559137,Yes,Female,By_16:00,0.502450686879,0.540302488487,3.04695728002,6.44705581246,1.48642418208,6.70615546638,6238.0,63.8991597341,710.857599931,5454.82079123,83550.4594964,Yes,162659.407111,26.6619129083,1011912.34671,45.2599217882,3361.21319017,100.0,30-45,0.0,1111.09359143,10.0,Public_or_other,Industry_or_other,861.981391157,0.0,No,train
2,Whites,3.0,408.262789256,97198.9457593,Foreign_Affairs,136.087596419,No,714.238096029,No,Male,By_16:00,0.899024648592,0.0533322812989,4.17873752071,1.7617535172,3.05945344036,9.38390219351,3912.0,29.6265936457,865.494572108,8873.3701045,100227.594707,Yes,510136.057819,29.4192891163,1499705.33728,25.612407201,18665.9214955,40.0,30-45,1.0,1260.06417028,20.0,Public_or_other,Public_Sector,819.390491554,1.0,Yes,train
5,Yellows,1.0,245.727791074,34939.7418426,Financial,81.9092636912,No,426.566425677,Yes,Female,After_16:00,0.956243385095,0.698686145945,0.175240505487,6.28746282542,3.88628201559,8.23766450165,4742.0,37.6313236542,520.626096988,5306.91645075,61232.1045084,Yes,181958.915515,22.8172324568,543075.735961,3.32510520238,6801.03674213,60.0,Below_30,3.0,779.272032309,1.0,Car,Hightech,536.103804904,0.0,No,train
6,Oranges,3.0,176.199131673,20881.6811225,Education,58.7330438908,No,355.53548291,Yes,Male,By_16:00,0.216134105809,0.425944988849,9.5809028158,6.7549661058,6.26217074227,1.59365093801,9754.0,16.7577086249,531.117151549,4617.5891322,65271.7244764,Yes,126405.479608,23.0459790755,565264.142785,64.0670569846,3518.30348858,100.0,45_and_up,1.0,877.433966054,18.0,Public_or_other,Services_or_Retail,727.749962739,0.0,No,train
8,Browns,8.0,1207.00051182,152141.832727,Financial,402.333503939,Yes,378.148553966,Yes,Male,After_16:00,0.78985440312,0.0376500010025,3.16837806487,9.57999746315,2.59731654543,9.78573188186,7634.0,55.871403194,790.938181244,5363.36190214,89437.0825147,No,142996.328866,28.1236231884,1252412.54003,94.871960301,162284.581896,60.0,Below_30,5.0,1178.64840543,15.0,Motorcycle_or_truck,Industry_or_other,857.978373818,2.0,No,train
9,Blues,8.0,705.29370473,145221.386551,Education,235.097901577,No,617.706009184,No,Female,After_16:00,0.554390893783,0.068889858434,7.52933117095,4.66667683329,9.17021264089,2.40813768469,6543.0,16.8135870714,673.995403874,7525.05089959,80049.9005581,Yes,381560.713782,25.9614214533,909846.848204,73.5821741167,55516.1212273,100.0,45_and_up,2.0,1008.13311858,18.0,Car,Industry_or_other,679.53330835,1.0,No,train
10,Reds,3.0,186.589150758,36596.3550606,Education,62.1963835861,No,588.400047569,No,Female,By_16:00,0.587284116773,0.107310965424,3.62562976778,0.241299888585,6.80542862043,2.15353647247,4863.0,44.204016868,657.96329971,7199.92707511,78834.7611709,Yes,346214.615979,25.6507953037,867133.933508,79.463044554,3940.58651477,100.0,Below_30,2.0,1003.0699394,2.0,Foot_or_bicycle,Public_Sector,704.125929801,0.0,No,train
12,Blues,10.0,878.873718835,116728.964743,Financial,292.957906278,No,398.449614234,Yes,Male,After_16:00,0.268710514531,0.377254287479,8.38647138793,8.85550512699,7.48722598189,6.29783769604,9338.0,56.9991972996,577.192916267,5138.88197487,66927.7328508,Yes,158762.095083,24.024839568,667319.542449,49.2843314307,86127.2927572,60.0,Below_30,3.0,863.202414486,8.0,Car,Services_or_Retail,607.767656844,0.0,No,train
14,Yellows,3.0,212.777485517,27960.9370465,Environment,70.9258285057,No,394.227852329,Yes,Male,After_16:00,0.137731098337,0.974622375332,9.68813905958,,0.400260644965,0.535411802121,8835.0,60.1186190732,558.082453121,5058.44342953,64797.6198611,Yes,155415.599552,23.623768817,623901.022472,30.6634760927,5111.39897772,90.0,Below_30,3.0,834.069821778,12.0,Public_or_other,Industry_or_other,584.745657472,0.0,No,train
